"COD_CIUDAD";"COD_BARRIO";"DESCRIPCION"
"2";"9";"CORRALES"
"3";"9";"5TA. COMPAÑIA"
"4";"9";"CAPILLA CUE"
"5";"9";"CUATRO MOJONES"
"6";"9";"DEFENSORES DEL CHACO"
"7";"9";"COCA COLA"
"8";"9";"LOS CEDRALES"
"10";"9";"ALDANA CAÑADA"
"11";"9";"LAS MERCEDES"
"12";"9";"COLONIA JUAN DE ZALAZAR"
"13";"9";"LOMA CLAVEL"
"17";"9";"DON BOSCO"
"21";"9";"ITA POTRERO"
"24";"9";"SAN LORENZO"
"25";"9";"POTRERO PO I"
"44";"9";"MBOCAYATY"
"45";"9";"MARIA VICTORIA"
"53";"9";"PRIMAVERA"
"100";"9";"REPUBLICANO"
"141";"10";"VIRGEN DE LOS REMEDIOS"
"206";"10";"KOEYU"
"207";"10";"SANTA ROSA"
"208";"10";"CONAVI"
"209";"10";"FATIMA"
"211";"10";"SAN PEDRO"
"212";"10";"SANTA ROSA"
"213";"10";"LAS MERCEDES"
"237";"10";"PAÑETE"
"254";"10";"LAS MELLIZAS"
"1";"10";"CAÑADA DEL YBYRAY"
"2";"10";"DOMINGO SAVIO"
"3";"10";"5TA. SUIZA"
"4";"10";"CAPILLA DEL MONTE"
"5";"10";"FELICIDAD"
"6";"10";"EL MIRADOR"
"7";"10";"EL REY"
"8";"10";"MARANGATU"
"10";"10";"ANAHI"
"11";"10";"MARIA AUXILIADORA"
"12";"10";"COSTA AZUL"
"13";"10";"MBOCAYATY"
"17";"10";"FATIMA"
"21";"10";"ITA POTY"
"24";"10";"SAN ROQUE"
"25";"10";"POZO DE LA VIRGEN"
"44";"10";"SAN ISIDRO"
"45";"10";"MCAL. ESTIGARRIBIA"
"53";"10";"SALADILLO"
"100";"10";"SAN ANTONIO"
"141";"11";"VIRGEN DEL ROSARIO"
"206";"11";"KOKUE GUAZU"
"207";"11";"YBYSUNU"
"208";"11";"CORAZON DE JESUS"
"209";"11";"LOMAS VALENTINAS"
"211";"11";"SURUBI'I"
"212";"11";"SR. DE LAS PALMAS"
"213";"11";"MARIA AUXILIADORA"
"237";"11";"REMANSITO"
"254";"11";"LAS MERCEDES"
"1";"11";"CAÑADITA"
"2";"11";"DON BOSCO"
"3";"11";"6TA. CÑIA"
"4";"11";"CARDENAL"
"5";"11";"ITA ENRAMADA"
"6";"11";"FRACCION EL TROPERO"
"7";"11";"FLORIDA"
"8";"11";"MARIA AUXILIADORA"
"10";"11";"ARATIRI"
"11";"11";"NIÑO JESUS"
"12";"11";"DON BOSCO"
"13";"11";"OBRERO"
"17";"11";"HERMOSO"
"21";"11";"KURUPI KAYTY"
"25";"11";"SAN BLAS"
"44";"11";"SAN JUAN"
"45";"11";"OBRERO"
"53";"11";"SAN BLAS"
"100";"11";"SAN JOSE"
"206";"12";"LA CANDELARIA"
"208";"12";"CRISTO REY"
"209";"12";"MBOCAYATY"
"211";"12";"TACURUTY"
"212";"12";"VICTORIA"
"213";"12";"POTRERITO"
"237";"12";"SAN AGUSTIN"
"254";"12";"LAS ROSAS"
"1";"12";"CAPITALIZADOR"
"2";"12";"ESTANZUELA"
"3";"12";"ADELAIDA URBANIZACION"
"4";"12";"CENTRO"
"5";"12";"ITA YVATE"
"6";"12";"FRACCION PALERMO"
"7";"12";"LA LOMITA"
"8";"12";"MARIA VICTORIA"
"10";"12";"AURORA"
"11";"12";"PORVENIR"
"12";"12";"EL DORADO"
"13";"12";"SAN ANTONIO"
"17";"12";"KAAGUY"
"21";"12";"LA ESPERANZA"
"25";"12";"SAN FRANCISCO"
"44";"12";"SANTA MARIA"
"45";"12";"PERPETUO SOCORRO"
"53";"12";"SAN RAMON"
"100";"12";"SAN MARTIN"
"206";"13";"LAS MERCEDES"
"208";"13";"ESTANZUELA"
"209";"13";"SALESIANO"
"211";"13";"ZONA INDUSTRIAL NORTE"
"213";"13";"SAN ANTONIO"
"237";"13";"SAN CAYETANO"
"254";"13";"LOMA"
"1";"13";"CARLOS A. LOPEZ"
"2";"13";"FATIMA"
"3";"13";"AEROPUERTO INTERNACIONAL"
"4";"13";"COCUERE"
"5";"13";"KENNEDY"
"6";"13";"JUAN S. BOGARIN"
"7";"13";"LA VICTORIA"
"8";"13";"MBOCAJATY"
"10";"13";"BALNEARIO"
"11";"13";"PUEBLO"
"12";"13";"EL PALMAR"
"13";"13";"SAN FRANCISCO"
"17";"13";"LA BLANCA"
"21";"13";"LAS MERCEDES"
"25";"13";"SAN MIGUEL"
"45";"13";"REINA VICTORIA"
"53";"13";"SANTA LIBRADA"
"100";"13";"TACUARA"
"206";"14";"MARIA AUXILIADORA"
"208";"14";"GUADALUPE"
"209";"14";"SAN ANTONIO"
"213";"14";"SAN FRANCISCO"
"237";"14";"SAN JUAN BAUTISTA"
"254";"14";"LOS NARANJOS"
"1";"14";"CATEDRAL"
"2";"14";"FDO DE LA MORA (ZONA NORTE)"
